,Loss,Error
187,0.23720169,0.8036097
188,0.16604869,0.88976693
189,0.1042723,0.6057477
190,0.15150502,1456494.5
191,0.5357907,0.7269289
192,0.6313857,0.82194835
193,0.17846717,0.73427373
194,0.16040069,1580512.2
195,0.35904896,0.68400407
196,0.22194768,0.97615147
197,0.13719653,1.0419953
198,0.1335266,0.835426
199,0.12854148,0.8134919
200,0.3903443,0.67148477
201,0.23594128,0.7531094
202,0.15997194,1742264.8
203,0.24554475,0.98712224
204,0.087902054,0.5131481
205,0.51433897,1863493.5
206,0.29527992,0.78350455
207,0.13230604,0.8464812
208,0.4158796,0.87723154
209,0.19439973,0.75712043
210,0.14459097,1746480.8
211,0.524848,0.6343001
212,0.37056628,0.7840822
213,0.12939264,0.43804848
214,0.19883353,0.68617415
215,0.2727109,0.65520537
216,0.1213443,0.4474393
217,0.059186883,0.4768343
218,0.28627768,0.746969
219,0.3484184,0.77545303
220,0.15403523,1894014.0
221,0.6438891,0.9726201
222,0.5278714,1.0860866
223,0.10196965,0.37514466
224,0.31644285,0.9619394
225,0.06686439,1653713.4
226,0.19026083,0.7415088
227,0.10635086,0.57112944
228,0.11337122,0.4596318
229,0.1613963,0.70954937
230,0.6260204,1825787.0
231,0.099605404,0.64025104
232,0.151254,0.6863673
233,0.12776902,0.58541036
234,0.13058741,1983954.6
235,0.37828624,0.99524117
236,0.5282139,0.44935766
237,0.2464473,0.86621475
238,0.14760438,0.620853
239,0.08851034,0.63213605
240,0.09936048,0.59475285
241,0.6620543,0.782549
242,0.10391005,0.46566597
243,0.053030986,0.44009283
244,0.34134722,1721443.9
245,0.111627236,1.1135463
246,0.5741112,0.6117605
247,0.34558162,1594854.6
248,0.06754489,0.42696822
249,0.12516706,0.42920348
250,0.1273936,0.8842848
251,0.16413322,0.8766467
252,0.23094638,0.88356584
253,0.15863767,0.34581068
254,0.05199541,0.7177851
255,0.060851738,0.5112268
256,0.6378558,0.7540686
257,0.29577076,0.69500583
258,0.10288425,0.6222758
259,0.13209392,1568399.0
260,0.08715563,0.6904153
261,0.09499845,0.48132452
262,0.812746,0.67317176
263,0.19595158,0.74371886
264,0.107224904,0.49825943
265,0.09534444,1471232.4
266,0.18110095,0.48578528
267,0.46539816,0.63818413
268,0.22972597,0.7451221
269,0.31376642,0.6050744
270,0.3125681,0.6671672
271,0.0682271,1533727.8
272,0.15345734,0.58218217
273,0.11879513,0.7005408
274,0.46068478,0.618859
275,0.23282358,0.6714158
276,0.2922038,0.7528032
277,0.485669,0.74601704
278,0.19686256,0.6073015
279,0.1348915,1508516.6
280,0.050423767,0.4187833
281,0.21761292,0.4361801
282,0.1626557,0.63794345
283,0.066037245,0.38222587
284,0.8207885,1556599.2
285,0.08231789,0.7551166
286,0.09100555,0.6699469
287,0.14337936,0.48076928
288,0.16555648,0.4278479
289,0.13057524,0.5798094
290,0.4144584,0.5658633
291,0.039790764,0.51058334
292,0.57400763,2142564.5
293,0.067563325,0.4327255
294,0.2287445,0.48296553
295,0.06135418,0.3530828
296,0.08441087,0.8017837
297,0.34477833,0.8185591
298,0.10656206,0.62301797
299,0.50738406,1782700.5
300,0.0953723,0.7614884
301,0.15467739,0.60153556
302,0.11306914,0.3987845
303,0.29918063,0.56267905
304,0.5033276,1519757.0
305,0.17233828,0.5614556
306,0.4594247,0.50254005
307,0.2302413,0.46454895
308,0.35082975,0.685297
309,0.10349032,1361095.6
310,0.09177874,0.5860707
311,0.10500974,0.40929884
312,0.3147682,0.73499364
313,0.087170534,0.3470274
314,0.08221616,0.52542377
315,0.085920446,0.6666628
316,0.46185172,0.6555099
317,0.2536929,1636885.5
318,0.4357473,0.49172518
319,0.10633269,1632108.4
320,0.1413455,0.65973336
321,0.13802655,0.35782406
322,0.33002323,0.6499865
323,0.11532243,0.68654877
324,0.16555633,0.4256346
325,0.09082506,1585336.8
326,0.0678654,0.6917315
327,0.14563377,0.56002593
328,0.06858248,0.4076475
329,0.3596658,0.72917676
330,0.03799994,0.34799057
331,0.0896629,0.5789629
332,0.18236081,0.692571
333,0.06917763,0.498059
334,0.789384,0.79869217
335,0.16978113,2481401.0
336,0.09586673,2246357.5
337,0.3157241,0.6031759
338,0.05748053,0.332525
339,0.21357119,0.7916178
340,0.12160594,0.36967275
341,0.47105142,0.46480793
342,0.13327189,0.56450963
343,0.09014734,0.44640446
344,0.1029695,0.46982485
345,0.14137042,0.47693497
346,0.097728916,1484993.8
347,0.509877,0.6209525
